"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Aarakocra Aeromancer","MM'25","10","Medium","Elemental","neutral","16","66 (12d8 + 12)","20 ft., Fly 50 ft.","10","16","12","13","17","12","Dex +5, Wis +5","Arcana +3, Nature +5, Perception +7","","","","","passive Perception 17","Aarakocra, Primordial (Auran)","4 (XP 1,100; PB +2)","","Multiattack. The aarakocra makes two Wind Staff attacks, and it can use Spellcasting to cast Gust of Wind.
Spellcasting. The aarakocra casts one of the following spells, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 13):At will: Elementalism, Gust of Wind, Mage Hand, Message1/day: Lightning Bolt
Wind Staff. Melee or Ranged Attack Roll: +5, reach 5 ft. or range 120 ft. Hit: 7 (1d8 + 3) Bludgeoning damage plus 11 (2d10) Lightning damage.","","Feather Fall (1/Day). The aarakocra casts Feather Fall in response to that spell's trigger, using the same spellcasting ability as Spellcasting.","","","","","Mountain, Planar (Elemental Plane of Air)","Individual, Implements"
"Aarakocra Skirmisher","MM'25","10","Medium","Elemental","neutral","12","11 (2d8 + 2)","20 ft., Fly 50 ft.","10","14","12","11","12","11","","Perception +5","","","","","passive Perception 15","Aarakocra, Primordial (Auran)","1/4 (XP 50; PB +2)","","Talons. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Slashing damage, or 9 (3d4 + 2) Slashing damage if the aarakocra moved 30+ feet straight toward the target immediately before the hit.
Wind Javelin. Melee or Ranged Attack Roll: +4, reach 5 ft. or range 30/120 ft. Hit: 5 (1d6 + 2) Piercing damage plus 2 (1d4) Thunder damage. Hit or Miss: The javelin magically returns to the aarakocra's hand immediately after a ranged attack.","","","","","","","Mountain, Planar (Elemental Plane of Air)","Individual, Implements"
"Aberrant Cultist","MM'25","86","Small or Medium","Humanoid","neutral evil","14","137 (25d8 + 25)","30 ft.","10","19","12","16","18","15","Int +6, Wis +7","Arcana +6, Perception +7, Religion +6","","","","","Darkvision 90 ft., passive Perception 17","Common, Deep Speech; telepathy 30 ft.","8 (XP 3,900; PB +3)","","Multiattack. The cultist makes two Tentacle Lash attacks. It can replace any attack with a use of Mind Rot.
Spellcasting. The cultist casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 15):At will: Detect Thoughts, Minor Illusion
Tentacle Lash. Melee Attack Roll: +7, reach 10 ft. Hit: 7 (1d6 + 4) Slashing damage plus 14 (4d6) Psychic damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of two tentacles, and it has the Restrained condition until the grapple ends.
Mind Rot. Wisdom Saving Throw: DC 15, one creature the cultist can see within 90 feet. Failure: 27 (6d8) Psychic damage, and the target has the Poisoned condition until the start of the cultist's next turn. Success: Half damage only.","","Counterspell (2/Day). The cultist casts Counterspell in response to that spell's trigger, using the same spellcasting ability as Spellcasting.","","","","","Any","Individual, Relics"
"Aberrant Spirit","PHB'24","322","Medium","Aberration","neutral","11 + the spell's level","40 + 10 for each spell level above 4","30 ft., Fly 30 ft. (hover; Beholderkin only)","16","10","15","16","10","6","","","","","psychic","","Darkvision 60 ft., passive Perception 10","Deep Speech, understands the languages you know","None (XP 0; PB equals your Proficiency Bonus)","Regeneration (Slaad Only). The spirit regains 5 Hit Points at the start of its turn if it has at least 1 Hit Point.
Whispering Aura (Mind Flayer Only). At the start of each of the spirit's turns, the spirit emits psionic energy if it doesn't have the Incapacitated condition. Wisdom Saving Throw: DC equals your spell save DC, each creature (other than you) within 5 feet of the spirit. Failure: 2d6 Psychic damage.","Multiattack. The spirit makes a number of attacks equal to half this spell's level (round down).
Claw (Slaad Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d10 + 3 + the spell's level Slashing damage, and the target can't regain Hit Points until the start of the spirit's next turn.
Eye Ray (Beholderkin Only). Ranged Attack Roll: Bonus equals your spell attack modifier, range 150 ft. Hit: 1d8 + 3 + the spell's level Psychic damage.
Psychic Slam (Mind Flayer Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d8 + 3 + the spell's level Psychic damage.","","","","","","","",""
"Abjurer Wizard","MPMM","260","Medium","Humanoid","any alignment","12 (15 with mage armor)","104 (16d8 + 32)","30 ft.","9","14","14","18","12","11","Int +8, Wis +5","Arcana +8, History +8","","","","","passive Perception 11","Any four languages","9 (XP 5,000; PB +4)","","Multiattack. The abjurer makes three Arcane Burst attacks.
Arcane Burst. Melee or Ranged Spell Attack: +6 to hit, reach 5 ft. or range 120 ft., one target. Hit: 20 (3d10 + 4) force damage.
Force Blast. Each creature in a 20-foot cube originating from the abjurer must make a DC 16 Constitution saving throw. On a failed save, a creature takes 36 (8d8) force damage and is pushed up to 10 feet away from the abjurer. On a successful save, a creature takes half as much damage and isn't pushed.
Spellcasting. The abjurer casts one of the following spells, using Intelligence as the spellcasting ability (spell save DC 16):At will: dancing lights, mage hand, message, prestidigitation2/day each: dispel magic, lightning bolt, mage armor1/day each: arcane lock, banishment, globe of invulnerability, invisibility, wall of force","","Arcane Ward (Recharge 4–6). When the abjurer or a creature it can see within 30 feet of it takes damage, the abjurer magically creates a protective barrier around itself or the other creature. The barrier reduces the damage to the protected creature by 26 (4d10 + 4), to a minimum of 0, and then vanishes.","","","","","Urban",""
"Aboleth","MM'25","12","Large","Aberration","lawful evil","17","150 (20d10 + 40)","10 ft., Swim 40 ft.","21","9","15","18","15","18","Dex +3, Con +6, Int +8, Wis +6","History +12, Perception +10","","","","","Darkvision 120 ft., passive Perception 20","Deep Speech; telepathy 120 ft.","10 (XP 5,900, or 7,200 in lair; PB +4)","Amphibious. The aboleth can breathe air and water.
Eldritch Restoration. If destroyed, the aboleth gains a new body in 5d10 days, reviving with all its Hit Points in the Far Realm or another location chosen by the DM.
Legendary Resistance (3/Day, or 4/Day in Lair). If the aboleth fails a saving throw, it can choose to succeed instead.
Mucus Cloud. While underwater, the aboleth is surrounded by mucus. Constitution Saving Throw: DC 14, each creature in a 5-foot Emanation originating from the aboleth at the end of the aboleth's turn. Failure: The target is cursed. Until the curse ends, the target's skin becomes slimy, the target can breathe air and water, and it can't regain Hit Points unless it is underwater.While the cursed creature is outside a body of water, the creature takes 6 (1d12) Acid damage at the end of every 10 minutes unless moisture is applied to its skin before those minutes have passed.
Probing Telepathy. If a creature the aboleth can see communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires.","Multiattack. The aboleth makes two Tentacle attacks and uses either Consume Memories or Dominate Mind if available.
Tentacle. Melee Attack Roll: +9, reach 15 ft. Hit: 12 (2d6 + 5) Bludgeoning damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of four tentacles.
Consume Memories. Intelligence Saving Throw: DC 16, one creature within 30 feet that is Charmed or Grappled by the aboleth. Failure: 10 (3d6) Psychic damage. Success: Half damage. Failure or Success: The aboleth gains the target's memories if the target is a Humanoid and is reduced to 0 Hit Points by this action.
Dominate Mind (2/Day). Wisdom Saving Throw: DC 16, one creature the aboleth can see within 30 feet. Failure: The target has the Charmed condition until the aboleth dies or is on a different plane of existence from the target. While Charmed, the target acts as an ally to the aboleth and is under its control while within 60 feet of it. In addition, the aboleth and the target can communicate telepathically with each other over any distance.The target repeats the save whenever it takes damage as well as after every 24 hours it spends at least 1 mile away from the aboleth, ending the effect on itself on a success.","","","Lash. The aboleth makes one Tentacle attack.
Psychic Drain. If the aboleth has at least one creature Charmed or Grappled, it uses Consume Memories and regains 5 (1d10) Hit Points.","","","The region containing an aboleth's lair is warped by it, creating the following effects:Foul Water. Water sources within 1 mile of the lair are supernaturally fouled. Creatures other than the aboleth and its allies that drink such water must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 1 hour.Psionic Projection. While in its lair, the aboleth can cast Project Image, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 16). When casting the spell this way, the spell's range is 1 mile, and the aboleth can use its telepathy as if it were in the illusion's space.If the aboleth dies or moves its lair elsewhere, these effects end immediately.","Underdark, Underwater","Relics"
"Abominable Yeti","MM'25","340","Huge","Monstrosity","chaotic evil","15","137 (11d12 + 66)","40 ft., Climb 40 ft.","24","10","22","9","13","9","","Perception +9, Stealth +8","","","cold","","Darkvision 60 ft., passive Perception 19","Yeti","9 (XP 5,000; PB +4)","Fear of Fire. If the yeti takes Fire damage, it has Disadvantage on attack rolls and ability checks until the end of its next turn.","Multiattack. The yeti can use its Chilling Gaze and makes two attacks, using Claw or Ice Throw in any combination.
Claw. Melee Attack Roll: +11, reach 5 ft. Hit: 14 (2d6 + 7) Slashing damage plus 7 (2d6) Cold damage.
Ice Throw. Ranged Attack Roll: +11, range 60/240 ft. Hit: 12 (2d4 + 7) Bludgeoning damage plus 7 (2d6) Cold damage.
Chilling Gaze. Constitution Saving Throw: DC 18, one creature the yeti can see within 30 feet. Failure: 21 (6d6) Cold damage, and the target has the Paralyzed condition until the start of the yeti's next turn unless the target has Immunity to Cold damage. Success: The target is immune to this yeti's Chilling Gaze for 1 hour.
Cold Breath (Recharge 6). Constitution Saving Throw: DC 18, each creature in a 30-foot Cone. Failure: 45 (10d8) Cold damage. Success: Half damage.","","","","","","","Arctic","Any"
"Achaierai","MaBJoV","131","Large","Monstrosity","lawful evil","15 (natural armor)","90 (12d10 + 24)","50 ft.","18","14","14","10","12","14","","Perception +4","","","","","Darkvision 60 ft., passive Perception 14","Infernal","5 (XP 1,800; PB +3)","Magic Resistance. The achaierai has advantage on saving throws against spells and other magical effects.","Multiattack. The achaierai makes two attacks with its Talons and one attack with its Beak.
Beak. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 14 (3d6 + 4) piercing damage.
Talons. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 8 (1d8 + 4) slashing damage.","Spring Attack. The achaierai takes the Disengage action.","Defensive Cloud. After taking damage the achaierai can use its reaction to release a cloud of poisonous gas in a 10-foot-radius. All creatures in the cloud take 7 (2d6) poison damage and must succeed on a DC 15 Constitution saving throw or be poisoned for 1 minute. While poisoned the target is confused as if from a confusion spell. At the end of its turns, the affected target can repeat the Constitution saving throw. If it succeeds the confusion ends. Achaierai are immune to the effects of this cloud.","","","","","",""
"Acidic Mist Apparition","GotSF","6","Large","Elemental","neutral","15","90 (12d10 + 24)","0 ft., Fly 90 ft. (hover)","14","20","14","6","10","6","","","","lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","acid, poison","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","Darkvision 60 ft., passive Perception 10","Auran","5 (XP 1,800; PB +3)","Air Form. The apparition can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.","Multiattack. The apparition makes two slam attacks.
Slam. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) acid damage.
Whirlwind (Recharge 4–6). Each creature in the apparition's space must make a DC 13 Strength saving throw. On a failure, a target takes 15 (3d8 + 2) bludgeoning damage and is flung up 20 feet away from the apparition in a random direction and knocked prone. If a thrown target strikes an object, such as a wall or floor, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC 13 Dexterity saving throw or take the same damage and be knocked prone.If the saving throw is successful, the target takes half the bludgeoning damage and isn't flung away or knocked prone.","","","","","","","",""
"Adult Amethyst Dragon","FTD","161","Huge","Dragon (Gem)","neutral","19 (natural armor)","229 (17d12 + 119)","40 ft., Fly 80 ft. (hover), Swim 40 ft.","25","14","25","20","17","21","Dex +7, Con +12, Wis +8, Cha +10","Arcana +15, Perception +13, Persuasion +10, Stealth +7","","force, psychic","","frightened, prone","Blindsight 60 ft., Darkvision 120 ft., passive Perception 23","Common, Draconic, telepathy 120 ft.","16 (XP 15,000, or 18,000 in lair; PB +5)","Amphibious. The dragon can breathe both air and water.
Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack. The dragon makes one Bite attack and two Claw attacks.
Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 9 (2d8) force damage.
Claw. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 11 (1d8 + 7) slashing damage.
Singularity Breath (Recharge 5–6). The dragon creates a shining bead of gravitational force in its mouth, then releases the energy in a 90-foot cone. Each creature in that area must make a DC 20 Strength saving throw. On a failed save, the creature takes 45 (10d8) force damage, and its speed becomes 0 until the start of the dragon's next turn. On a successful save, the creature takes half as much damage, and its speed isn't reduced.
Spellcasting (Psionics). The dragon casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 18):1/day each: blink, control water, dispel magic, protection from evil and good, sending","Change Shape. The dragon magically transforms into any creature that is Medium or Small, while retaining its game statistics (other than its size). This transformation ends if the dragon is reduced to 0 hit points or uses a bonus action to end it.
Psychic Step. The dragon magically teleports to an unoccupied space it can see within 60 feet of it.","","Claw. The dragon makes one claw attack.
Psionics (Costs 2 Actions). The dragon uses Psychic Step or Spellcasting.
Explosive Crystal (Costs 3 Actions). The dragon spits an amethyst that that explodes at a point it can see within 60 feet of it. Each creature within a 20-foot-radius sphere centered on that point must succeed on a DC 20 Dexterity saving throw or take 13 (3d8) force damage and be knocked prone.","","On initiative count 20 (losing initiative ties), the dragon can take one of the following lair actions; the dragon can't take the same lair action two rounds in a row:Beguiling Whisper. The dragon telepathically whispers to one creature within range of the dragon's telepathy. The creature must succeed on a DC 15 Wisdom saving throw or be charmed by the dragon until initiative count 20 on the next round. A creature charmed in this way obeys to the best of its ability any command the dragon issues that isn't directly harmful to the creature.Imprisoning Force. The dragon casts the forcecage spell, using its spell save DC and requiring no spell components. The spell ends early if the dragon uses this lair action again or dies.Spatial Projection. The dragon chooses a space it can fit into within the lair. It exists in its own space and the chosen space simultaneously until initiative count 20 on the next round. Whenever it moves or takes an action, it chooses which version of itself is moving or acting. If an effect or attack can target both of the dragon's spaces at the same time, the dragon is affected only once.","The region surrounding a legendary amethyst dragon's lair is altered by the dragon's magic, creating one or more of the following effects:Background Check. Once per day, the dragon can cast the legend lore spell, requiring no spell components, naming any person, place, or object within 1 mile of the lair as the spell's subject.Crystal Profusion. Amethyst crystals and geodes form along muddy shores and lake beds within 6 miles of the lair.Thriving Wildlife. Fish and other aquatic Beasts reproduce rapidly and thrive in bodies of water within 6 miles of the lair. Foraging in these waters yields twice the usual amount of food.Watery Sight. Water within 6 miles of the lair is a conduit for the dragon's psionic presence. As an action, the dragon can cast the clairvoyance spell, requiring no spell components and targeting any body of water in that region.If the dragon dies, the populations of aquatic life near the lair return to normal levels over the course of 1d10 days. The existing abundance of amethysts remains, but new crystals and geodes form at a normal rate.","",""
