,Unnamed: 0,Name,Size,Type,Alignment,Habitat,Main Habitat,Other Habitat,Treasure,AC,HP,Initiative,Walk,Burrow,Climb,Fly,Hover,Swim,STR Mod,INT Mod,DEX Mod,WIS Mod,CON Mod,CHA Mod,STR Save,INT Save,DEX Save,WIS Save,CON Save,CHA Save,Proficient,Expertise,Vulnerabilities,Slashing,Immunities Conditions,Immunities Damage,Blindsight,Darkvision,Truesight,Tremorsense,Passive Perception,Languages,CR,XP.,PB,Traits,# of Legendary Resistance,# of Atk,Atk 1 Type,Atk 1 Mod,Atk 1 Range,Atk 1 Range Short,Atk 1 Dam.,Atk 1 Damage Type,Atk 2 Type,Atk 2 Mod,Atk 2 Range,Atk 2 Range short,Atk 2 Dam.,Atk 2 Damage Type,Atk 3 Type,Atk 3 Mod,Atk 3 Range,Atk 3 Range short,Atk 3 Dam.,Atk 3 Damage Type,Atk 4 Type,Atk 4 Mod,Atk 4 Range,Atk 4 Range short,Atk 4 Dam.,Atk 4 Damage Type,Save DC,Saving Throw,Action Notes,Ability,Spell Save DC,Spell Saving Throws,Spell Attack,At Will,3.0/Day,2.0/Day,1.0/Day,Bonus Action,Reaction,Amount,Legendary Action Save DC,Legendary Action Saving Throw,Legendary Actions.,Lair,xp,Legendary Resistance,Legendary Actions,Lair Save DC,Lair Saving Throws,Other
0,0,Aarakocra Aeromancer,Medium,Elemental (Aarakocra),Neutral,"Mountain, Planar (Elemental Plane of Air)","Mountain, Planar",Elemental Plane of Air,"Implements, Individual",16.0,66.0,3.0,20.0,,,50.0,,,0.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,1.0,"Arcana, Nature",Perception,,,,,,,,,17.0,"Aarakocra, Primordial (Auran)",4.00000/1,1100.0,2.0,,,3.0,Melee,5.0,5.0,"=(if(AV3=""Ranged"",if(iserror(Find(""/"",AX3))=True,AX3,Left(AX3,Find(""/"",AX3)-1)*1),""""))",18.0,"Bludgeoning, Lightning",Ranged,5.0,120.0,120,18.0,"Bludgeoning, Lightning",,,,"=(if(BH3=""Ranged"",if(iserror(Find(""/"",BJ3))=True,BJ3,Left(BJ3,Find(""/"",BJ3)-1)*1),""""))",,,,,,"=(if(BN3=""Ranged"",if(iserror(Find(""/"",BP3))=True,BP3,Left(BP3,Find(""/"",BP3)-1)*1),""""))",,,,,,Wisdom,13.0,"Dexterity, Strength",5.0,"Elementalism, Gust of Wind, Mage Hand, Message",,,"Lightning Bolt, Feather Fall",,Feather Fall cast feather fall,,,,,,,,,,,
1,1,Aarakocra Skirmisher,Medium,Elemental (Aarakocra),Neutral,"Mountain, Planar (Elemental Plane of Air)","Mountain, Planar",Elemental Plane of Air,"Implements, Individual",12.0,11.0,2.0,20.0,,,50.0,,,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,,Perception,,,,,,,,,15.0,"Aarakocra, Primordial (Auran)",45661,50.0,2.0,,,1.0,Melee,4.0,5.0,=,4.0,Slashing,Melee,4.0,5.0,=,7.0,"Piercing, Thunder",Ranged,4.0,30.0,30,7.0,"Piercing, Thunder",,,,=,,,,,Atk 1 if  moving 30ft+ 9 damage,,,,,,,,,,,,,,,,,,,,,
2,2,Aberrant Cultist,Medium or Small,Humanoid (Cultist),Neutral Evil,Any,Any,," Individual, Relics",14.0,137.0,7.0,30.0,,,,,,0.0,3.0,4.0,4.0,1.0,2.0,0.0,6.0,4.0,7.0,1.0,2.0,"Arcanna, Perception, Religion",,,,,,,90.0,,,17.0,"Common, Deep Speech, Telepathy",8.00000/1,3900.0,3.0,,,2.0,Melee,7.0,10.0,=,21.0,"Slashing, Psychic",,,,=,,,,,,=,,,,,,=,,,15.0,Wisdom,"Atk 1 on hit grappled and restrained, Mind Rot within 90ft on fail poisoned",Wisdom,15.0,"Constitution, Wisdom",7.0,"Detect Thoughts, Minor Illusion",,Counterspell,,,Counterspell cast counterspell,,,,,,,,,,,
3,3,Aboleth,Large,Aberration,Lawful Evil,"Underdark, Underwater","Underdark, Underwater",,Relics,17.0,150.0,7.0,10.0,,,,,40.0,5.0,4.0,-1.0,2.0,2.0,4.0,5.0,8.0,3.0,6.0,6.0,4.0,,"History, Perception",,,,,120,,,,20.0,"Deep Speech, Telepathy",10.00000/1,5900.0,4.0,"Amphibious, Eldritch Restoration, Mucus Cloud, Probing Telepathy",3.0,3.0,Melee,9.0,15.0,=,12.0,Bludgeoning,,,,=,,,,,,=,,,,,,=,,,16.0,"Intelligence, Wisdom","Akt 1 grapples, 30ft that is charmed or grappled takes 10 psychic damage and gains memories if target is reduced to 0, 30ft charmes",,,,,,,,,,,3.0,,,Makes another attack or regains 5hp,Yes,7200.0,4.0,4.0,15.0,Constitution,"On fail poisoned, Cast Project Image with a 1 mile range"
4,4,Abominable Yeti,Huge,Monstrosity,Chaotic Evil,Arctic,Arctic,,Any,15.0,137.0,4.0,40.0,,40.0,,,,7.0,-1.0,0.0,1.0,6.0,-1.0,7.0,-1.0,0.0,1.0,6.0,-1.0,,"Perception, Stealth",,,,Cold,,60.0,,,19.0,Yeti,9.00000/1,5000.0,4.0,Fear of Fire,,3.0,Melee,11.0,5.0,=,21.0,"Slashing, Cold",Ranged,11.0,60.0,60,19.0,"Bludgeoning, Cold",,,,=,,,,,,=,,,18.0,Constitution,"Chilling Gaze within 30ft on fail 21 cold damage and paralyzed, Cold Breath recharges on 6 30ft cone on fail 45 cold damage",,,,,,,,,,,,,,,,,,,,,
5,5,Adult Black Dragon,Huge,Dragon (Chromatic),Chaotic Evil,Swamp,Swamp,,Relics,19.0,195.0,12.0,40.0,,,80.0,,40.0,6.0,2.0,2.0,1.0,5.0,4.0,6.0,2.0,7.0,6.0,5.0,4.0,Stealth,Perception,,,,Acid,60,120.0,,,21.0,"Common, Draconic",14.00000/1,11500.0,5.0,Amphibious,3.0,3.0,Melee,11.0,10.0,=,17.0,"Slashing, Acid",Ranged,9.0,90.0,90,32.0,Acid,,,,=,,,,,,=,,,18.0,Dexterity,"Acid Breath recharges on 5-6 Dex save 60ft 5ft wide line 54 Acid, Akt 2 is a casting of Melf's Acid Arrow",Charisma,17.0,"Dexterity, Wisdom",9.0,"Detect Magic, Fear, Melf's Acid Arrow (3rd level)",,,"Speak with Dead, Vitriolic Sphere",,,3.0,17.0,"Dexterity, Wisdom","22 poison and disadv on con. saves,  Frightful Presence, Pounce",Yes,13000.0,4.0,4.0,15.0,Constitution,On fail Poisoned
6,6,Adult Blue Dragon,Huge,Dragon (Chromatic),Lawful Evil,"Coastal, Desert","Coastal, Desert",,Relics,19.0,212.0,10.0,40.0,30.0,,80.0,,,7.0,3.0,0.0,2.0,6.0,5.0,7.0,3.0,5.0,7.0,6.0,5.0,Stealth,Perception,,,,Lightning,60,120.0,,,22.0,"Common, Draconic",16.00000/1,15000.0,5.0,,3.0,3.0,Melee,12.0,10.0,=,21.0,"Slashing, Lighting",Range AOE,,60.0,=,14.0,Thunder,,,,=,,,,,,=,,,19.0,Dexterity,Lightning Breath recharges on 5-6 90ft 5ft wide line 60 lightning,Charisma,18.0,"Constitution, Wisdom",10.0,"Detect Magic, Invincibility, Mage Hand, Shatter",,,"Scrying, Sending",,,3.0,18.0,Constitution,"Cast invisibility and fly 1/2, Cast shatter, Makes an attack",Yes,18000.0,4.0,4.0,15.0,Dexterity,On fail fall into a 2d4 * 10 hole
7,7,Adult Brass Dragon,Huge,Dragon (Metallic),Chaotic Good,Desert,Desert,,Arcana,18.0,172.0,10.0,40.0,30.0,,80.0,,,6.0,2.0,0.0,1.0,5.0,3.0,6.0,2.0,5.0,6.0,5.0,3.0,"History, Persuasion, Stealth",Perception,,,,Fire,60,120.0,,,21.0,"Common, Draconic",13.00000/1,10000.0,5.0,,3.0,3.0,Melee,11.0,10.0,=,21.0,"Slashing, Fire",Ranged,8.0,120.0,120,21.0,Fire,,,,=,,,,,,=,,,18.0,"Dexterity, Constitution","Akt 2 is casting scorching ray, Fire Breath recharges on 5-6 60ft 5ft wide line 45 fire damage, Sleep Breath 60ft coone cause incapacitated and possibly unconscious",Charisma,16.0,Wisdom,8.0,"Detect Magic, Minor Illusion, Scorching Ray, Shapechange, Speak with Animals",,,"Detect Thoughts, Control Weather",,,3.0,16.0,Dexterity,"Cast scorching Ray, Pounce, 27 fire damage and 1/2 speed of target's",Yes,11500.0,4.0,4.0,,,Can cast Major Image
8,8,Adult Bronze Dragon,Huge,Dragon (Metallic),Lawful Good,Coastal,Coastal,, Implements,18.0,212.0,10.0,40.0,,,80.0,,40.0,7.0,3.0,0.0,2.0,6.0,5.0,7.0,3.0,5.0,7.0,6.0,5.0,"Insight, Stealth",Perception,,,,Lightning,60,120.0,,,22.0,"Common, Draconic",15.00000/1,13000.0,5.0,Amphibious,3.0,3.0,Melee,12.0,10.0,=,21.0,"Slashing, Lighting",Ranged,10.0,120.0,120,18.0,Radiant,,,,=,,,,,,=,,,19.0,"Dexterity, Strength","Akt 2 is casting Guiding Bolt (level 2), Lightning Breath recharges on 5-6 90ft 5ft wide line 55 lightning, Repulsion Breath 30ft coone targets are pushed 60ft and are prone",Charisma,17.0,Wisdom,10.0,"Detect Magic, Guiding Bolt (level 2), Shapechange, Speak with Animals, Thaumaturgy",,,"Detect Thoughts, Water Breathing",,,3.0,17.0,Constitution,"Cast Guiding Bolt, Pounce, 10 thunder damage and makes deafened",Yes,15000.0,4.0,4.0,,,Can cast Control Weather
9,9,Adult Copper Dragon,Huge,Dragon (Metallic),Chaotic Good,Hill,Hill,,Arcana,18.0,184.0,11.0,40.0,,40.0,80.0,,,6.0,4.0,1.0,2.0,5.0,4.0,6.0,4.0,6.0,7.0,5.0,4.0,"Deception, Stealth",Perception,,,,Acid,60,120.0,,,22.0,"Common, Draconic",14.00000/1,11500.0,5.0,,3.0,3.0,Melee,11.0,10.0,=,21.0,"Slashing, Acid",Ranged,,120.0,120,23.0,Psychic,,,,=,,,,,,=,,,18.0,"Dexterity, Constitution","Akt 2 is casting mind spike (level 4), Acid Breath recharges on 5-6 60ft 5ft wide line 54 acid damage, Slowing Breath 60ft coone target's speed is halved and can't take reactions, and either an action or bonus action",Charisma,17.0,Wisdom,9.0,"Detect Magic, Mind Spike (level 4), Minor Illusion, Shapechange",,,"Greater Restoration, Major Image",,,3.0,17.0,Charisma,"24 psychic damage and -1d6 on ability checks and attack rolls, Cast Mind Spike (level 4), Pounce",Yes,13000.0,4.0,4.0,15.0,Wisdom,On fail incapacitated
